step,stage,phase,source_log,role,loss_name,loss_value,ce_loss,kl_loss,advantage,reward,kl_coef_before,kl_coef_after,did_step,skipped_reason
1,stage1_understanding,understanding,/Users/ritesh.thawkar/Ritesh/self-evolving-uug/runs/final/E2_understanding_only/iter_log.jsonl,proposer,grpo_loss,-0.83203125,,0.0,0.8312853833313794,0.6497626405440847,0.01,0.009048374180359595,True,
1,stage1_understanding,understanding,/Users/ritesh.thawkar/Ritesh/self-evolving-uug/runs/final/E2_understanding_only/iter_log.jsonl,proposer,kl_loss,0.0,,0.0,0.8312853833313794,0.6497626405440847,0.01,0.009048374180359595,True,
2,stage1_understanding,understanding,/Users/ritesh.thawkar/Ritesh/self-evolving-uug/runs/final/E2_understanding_only/iter_log.jsonl,proposer,grpo_loss,0.1510416716337204,,0.001953125,-0.1505041823805785,-0.006359706712917322,0.009048374180359595,0.008267653381076809,True,
2,stage1_understanding,understanding,/Users/ritesh.thawkar/Ritesh/self-evolving-uug/runs/final/E2_understanding_only/iter_log.jsonl,proposer,kl_loss,0.001953125,,0.001953125,-0.1505041823805785,-0.006359706712917322,0.009048374180359595,0.008267653381076809,True,
3,stage1_understanding,understanding,/Users/ritesh.thawkar/Ritesh/self-evolving-uug/runs/final/E2_understanding_only/iter_log.jsonl,proposer,grpo_loss,0.4440104365348816,,0.0009765625,-0.4439427491006372,-0.4217456160850328,0.008263014708425368,0.007513281418697056,True,
3,stage1_understanding,understanding,/Users/ritesh.thawkar/Ritesh/self-evolving-uug/runs/final/E2_understanding_only/iter_log.jsonl,proposer,kl_loss,0.0009765625,,0.0009765625,-0.4439427491006372,-0.4217456160850328,0.008263014708425368,0.007513281418697056,True,
4,stage1_understanding,understanding,/Users/ritesh.thawkar/Ritesh/self-evolving-uug/runs/final/E2_understanding_only/iter_log.jsonl,proposer,grpo_loss,-0.716796875,,0.0,0.7167853213445657,0.4561790274653193,0.007499602504658428,0.006785920966611147,True,
4,stage1_understanding,understanding,/Users/ritesh.thawkar/Ritesh/self-evolving-uug/runs/final/E2_understanding_only/iter_log.jsonl,proposer,kl_loss,0.0,,0.0,0.7167853213445657,0.4561790274653193,0.007499602504658428,0.006785920966611147,True,
5,stage1_understanding,understanding,/Users/ritesh.thawkar/Ritesh/self-evolving-uug/runs/final/E2_understanding_only/iter_log.jsonl,proposer,grpo_loss,-0.1744791716337204,,0.001953125,0.17596252113806884,0.16716439684079062,0.006819299352225534,0.006230909799064226,True,
5,stage1_understanding,understanding,/Users/ritesh.thawkar/Ritesh/self-evolving-uug/runs/final/E2_understanding_only/iter_log.jsonl,proposer,kl_loss,0.001953125,,0.001953125,0.17596252113806884,0.16716439684079062,0.006819299352225534,0.006230909799064226,True,
